Column1,watch-title,y,watch-view-count,watch-time-text,content_watch-info-tag-list,watch7-headline,watch7-user-header,watch8-sentiment-actions,og:image,og:image:width,og:image:height,og:description,og:video:width,og:video:height,og:video:tag,channel_link_0,p
596,WD Gann Machine Learning Artificial Intelligence,0,909 visualizaÃ§Ãµes,Publicado em 22 de jun. de 2018,EducaÃ§Ã£o,WD Gann Machine Learning Artificial Intelligence,"WD Gann Price & Time Technical Analysis",909 visualiza,https://i.ytimg.com/vi/VYwtAhB-0bI/hqdefault.jpg,4800,3600,My thoughts on the future of trading https://www.youtube.com/watch?v=CwcPFUpnjms http://www.timingsolution.com/ https://rapidminer.com/ https://www.python.or...,9600,7200,intelligence,/channel/UCpwQxzCNnYoYWZEHBuvaRXA,364
599,SQL Summer Camp: Select  From and Where| Kaggle,0,6.792 visualizaÃ§Ãµes,Transmitido ao vivo em 26 de jun. de 2019,CiÃªncia e tecnologia,SQL Summer Camp: Select  From and Where| Kaggle,"Kaggle",6.792 visuali,https://i.ytimg.com/vi/VljQui5es7g/hqdefault.jpg,4800,3600,Today we'll learn the basic commands used to build all SQL queries: select  from and where. The first 30 minutes will be lecture and and live coding  and the...,12800,7200,reading group,/channel/UCSNeZleDn9c74yQc-EKnVTA,269
603,Deep Learning Kaggle Kernels | Histopathologic Cancer Detection (Top 12%),0,288 visualizaÃ§Ãµes,Publicado em 3 de mar. de 2019,Pessoas e blogs,Deep Learning Kaggle Kernels | Histopathologic Cancer Detection (Top 12%),"The Computer Vision LabCarr",288 visualiza,https://i.ytimg.com/vi/VsA7w1y3Bkg/maxresdefault.jpg,12800,7200,This is a new series for my channel where I will be going over many different kaggle kernels that I have created for computer vision experiments/projects. Ha...,12800,7200,Data Science,/channel/UCwt6d06n0cbD5l-eoXBTEcA,266
605,Kaggle Live-Coding: Tensorflow in R for Quora Insincere Questions Classification | Kaggle,0,1.026 visualizaÃ§Ãµes,Transmitido ao vivo em 16 de nov. de 2018,CiÃªncia e tecnologia,Kaggle Live-Coding: Tensorflow in R for Quora Insincere Questions Classification | Kaggle,"Kaggle",1.026 visuali,https://i.ytimg.com/vi/W4_RQSBByN4/maxresdefault.jpg,12800,7200,Join Kaggle data scientist Rachael live as she works on data science projects! See previous livestreams here: https://www.youtube.com/playlist?list=PLqFaTIg4...,12800,7200,CS,/channel/UCSNeZleDn9c74yQc-EKnVTA,371
619,Kaggle Days Meetup Milan #2 - Luca Massaron,1,55 visualizaÃ§Ãµes,Publicado em 25 de out. de 2019,Pessoas e blogs,Kaggle Days Meetup Milan #2 - Luca Massaron,"LogicAICarregando...  ",55 visualizaÃ,https://i.ytimg.com/vi/WlBRu6BE0AQ/maxresdefault.jpg,12800,7200,The second edition of Kaggle Days Meetup. We had the pleasure to have Luca Massaron as a speaker  talk about Kaggle PetFinder competition. Learn about deep l...,12800,7200,kaggle,/channel/UCZ_qlZbg9EzwRnLq_hFQumQ,685
620,Kaggle Reading Group : An Open Source AutoML Benchmark | Kaggle,1,1.653 visualizaÃ§Ãµes,Transmitido ao vivo em 14 de ago. de 2019,CiÃªncia e tecnologia,Kaggle Reading Group : An Open Source AutoML Benchmark | Kaggle,"Kaggle",1.653 visuali,https://i.ytimg.com/vi/WlXhpXv9kDU/hqdefault.jpg,4800,3600,This week we're starting a new paper: An Open Source AutoML Benchmark by Gijsbers et al from the 2019 ICML Workshop on Automated Machine Learning. Paper: htt...,12800,7200,reading group,/channel/UCSNeZleDn9c74yQc-EKnVTA,286
632,BigQuery - End-to-End Machine Learning with TensorFlow on GCP from Google Cloud #6,0,510 visualizaÃ§Ãµes,Publicado em 12 de abr. de 2019,EducaÃ§Ã£o,BigQuery - End-to-End Machine Learning with TensorFlow on GCP from Google Cloud #6,"Coursera  ",510 visualiza,https://i.ytimg.com/vi/XGOvuWXq6Xc/maxresdefault.jpg,12800,7200,This video is part of an online course  End-to-End Machine Learning with Tensorflow from Google Cloud. Enroll today at https://www.coursera.org/learn/end-to-...,12800,7200,Bigquery,/channel/UCZ50rYSkYQG31YDEJm9Di_g,273
639,Getting Started with Automated Data Pipelines  Day 1: Versioning and GitHub | Kaggle,0,7.900 visualizaÃ§Ãµes,Transmitido ao vivo em 29 de jan. de 2019,CiÃªncia e tecnologia,Getting Started with Automated Data Pipelines  Day 1: Versioning and GitHub | Kaggle,"Kaggle",7.900 visuali,https://i.ytimg.com/vi/Xi140XVOznM/maxresdefault.jpg,12800,7200,On the first livestream for the automating data pipelines event  we'll be talking about data versioning and how to connect a GitHub dataset to Kaggle. SUBSCR...,12800,7200,CS,/channel/UCSNeZleDn9c74yQc-EKnVTA,301
646,Kaggle Meetup: Using News to Predict Stock Movements,0,1.005 visualizaÃ§Ãµes,Publicado em 21 de fev. de 2019,CiÃªncia e tecnologia,Kaggle Meetup: Using News to Predict Stock Movements,"Learn Data ScienceCarregand",1.005 visuali,https://i.ytimg.com/vi/Y5JEWl8yNGk/maxresdefault.jpg,12800,7200,Kaggle page: https://www.kaggle.com/c/two-sigma-financial-news Meetup page: https://www.meetup.com/LearnDataScience/events/fbczqqyzdbcc/ Slides: https://docs...,12800,7200,yvr,/channel/UCJhW_16uxALr0X4olEW2p5A,281
649,Machine Learning in JavaScript (TensorFlow Dev Summit 2018),0,105.053 visualizaÃ§Ãµes,Publicado em 30 de mar. de 2018,CiÃªncia e tecnologia,Machine Learning in JavaScript (TensorFlow Dev Summit 2018),"TensorFlowCarregando... ",105.053 visua,https://i.ytimg.com/vi/YB-kfeNIPCE/maxresdefault.jpg,12800,7200,Nikhil Thorat and Daniel Smilkov discuss TensorFlow.js  which is TensorFlowâ€™s new machine learning framework for JavaScript developers. It supports building ...,12800,7200,neural networks,/channel/UC0rqucBdTuFTjJiefW5t-IQ,264
652,Masters In Artificial Intelligence  Machine Learning & Robotics | Prospect  Courses & Profiles,1,17.865 visualizaÃ§Ãµes,Publicado em 6 de dez. de 2018,EducaÃ§Ã£o,"#mastersinartificialintelligence #GRE #MSinUS Masters In Artificial Intelligence  Machine Learning & Robotics | Prospect  Courses & Profiles","GREedgeCarregando...  ",17.865 visual,https://i.ytimg.com/vi/YFScYAFfJEw/maxresdefault.jpg,12800,7200,"Why are Artificial Intelligence  Machine Learning or Robotics courses all the rage these days! Download ""Top 10 US Universities for Master's in ML  AI & Robo...",12800,7200,masters in artificial intelligence germany,/channel/UCXngArkxAfWfAivApxlHpjA,315
672,ML Kit: Machine Learning SDK for mobile developers (Google I/O '18),0,35.072 visualizaÃ§Ãµes,Publicado em 9 de mai. de 2018,CiÃªncia e tecnologia,"#io18 ML Kit: Machine Learning SDK for mobile developers (Google I/O '18)","Firebase",35.072 visual,https://i.ytimg.com/vi/Z-dqGRSsaBs/maxresdefault.jpg,12800,7200,ML Kit allows you to harness the power of ML without needing to be an expert in it. Leverage powerful but simple-to-use image recognition capabilities across...,12800,7200,google I o,/channel/UCP4bf6IHJJQehibu6ai__cg,263
685,Kaggle Meetup: What's Cooking,0,166 visualizaÃ§Ãµes,Publicado em 21 de out. de 2018,CiÃªncia e tecnologia,Kaggle Meetup: What's Cooking,"Learn Data ScienceCarregand",166 visualiza,https://i.ytimg.com/vi/_APGZMsYjDg/maxresdefault.jpg,12800,7200,Meetup page: https://www.meetup.com/LearnDataScience/events/wdlntpyxnbxb/ Slides: https://docs.google.com/presentation/d/1EoFv6DoK4rxRDzPELbjsYQv1dltTbRcpIyX...,12800,7200,meetup,/channel/UCJhW_16uxALr0X4olEW2p5A,425
695,Ethics and Bias in Artificial Intelligence - 18th Vienna Deep Learning Meetup,0,1.428 visualizaÃ§Ãµes,Transmitido ao vivo em 7 de mai. de 2018,Entretenimento,Ethics and Bias in Artificial Intelligence - 18th Vienna Deep Learning Meetup,"Vienna Deep Learning Meetup",1.428 visuali,https://i.ytimg.com/vi/_zwBCDmlvv8/maxresdefault.jpg,12800,7200,The Vienna Deep Learning Meetup and the Centre for Informatics and Society of TU Wien jointly organized an evening of discussion on the topic of Ethics and B...,,,Ethics,/channel/UCAVBJhzHK-jleJbyYTDp8cA,341
705,Kaggle Meetup: CANSSI NCSC Ferry Delays,0,124 visualizaÃ§Ãµes,Publicado em 3 de out. de 2019,CiÃªncia e tecnologia,Kaggle Meetup: CANSSI NCSC Ferry Delays,"Learn Data ScienceCarregand",124 visualiza,https://i.ytimg.com/vi/aOGnEHywIBc/maxresdefault.jpg,12800,7200,Presenter: Matt Tourond Kaggle page: https://www.kaggle.com/c/canssi-ncsc-ferry-delays Meetup page: https://www.meetup.com/LearnDataScience/events/fbczqqyznb...,12800,7200,machine learning,/channel/UCJhW_16uxALr0X4olEW2p5A,447
708,Meetup: Custom Machine Learning Recipes: Ingredients for Success,0,222 visualizaÃ§Ãµes,Publicado em 21 de nov. de 2019,CiÃªncia e tecnologia,Meetup: Custom Machine Learning Recipes: Ingredients for Success,"H2O.ai",222 visualiza,https://i.ytimg.com/vi/aRKZTVnyfPM/maxresdefault.jpg,12800,7200,This meetup was recorded in Mountain View on November 12  2019. Slides from the meetup can be viewed here: https://www.slideshare.net/0xdata/meetup-custom-ma...,12800,7200,,/channel/UCk6ONJlPzjw3DohAeMSgsng,316
718,Kaggle Meetup: Human Protein Atlas,0,226 visualizaÃ§Ãµes,Publicado em 8 de fev. de 2019,CiÃªncia e tecnologia,Kaggle Meetup: Human Protein Atlas,"Learn Data ScienceCarregand",226 visualiza,https://i.ytimg.com/vi/bAgjqdQ0VE8/maxresdefault.jpg,12800,7200,Kaggle page: https://www.kaggle.com/c/human-protein-atlas-image-classification Meetup page: https://www.meetup.com/LearnDataScience/events/hjhcmqyzdbkb/ Slid...,12800,7200,kaggle,/channel/UCJhW_16uxALr0X4olEW2p5A,478
720,wataã•ã‚“ã€Žã‚µãƒ³ã‚¿ã‚³ãƒ³ãƒšã§äºŒåº¦å…¨å®Œã—ãŸè©±ã€- Kaggle meetup Tokyo #4,0,1.474 visualizaÃ§Ãµes,Publicado em 12 de mai. de 2018,Pessoas e blogs,wataã•ã‚“ã€Žã‚µãƒ³ã‚¿ã‚³ãƒ³ãƒšã§äºŒåº¦å…¨å®Œã—ãŸè©±ã€- Kaggle meetup Tokyo #4,"Takami SatoCarregando...",1.474 visuali,https://i.ytimg.com/vi/bM1Xtziy6xc/maxresdefault.jpg,12800,7200,è³‡æ–™ https://speakerdeck.com/wata_orz/santakonpedeer-du-quan-wan-sitahua Kaggle meetup tokyo #4 https://connpass.com/event/82458/,12800,7200,kaggle,/channel/UCiECS_auJLNpFsvjTi1WuxQ,372
729,Time-Series Anomaly Detection | Kaggle NYC,0,62 visualizaÃ§Ãµes,Publicado em 14 de nov. de 2019,CiÃªncia e tecnologia,Time-Series Anomaly Detection | Kaggle NYC,"Kaggle NYCCarregando... ",62 visualizaÃ,https://i.ytimg.com/vi/c197siqxHBs/maxresdefault.jpg,12800,7200,About the speaker: Kevin Chen is currently a self-taught ML practitioner concentrating on anomaly detection  time-series  streaming data  and (later) predict...,12800,7200,data science,/channel/UC6TU220DZU2dfD_FCAUq49A,272
744,Data Science Specialization at IFMR-GSB,1,207 visualizaÃ§Ãµes,Publicado em 27 de dez. de 2018,EducaÃ§Ã£o,Data Science Specialization at IFMR-GSB,"IFMR GSB KREA UniversityCar",207 visualiza,https://i.ytimg.com/vi/crUfuo9GXIc/maxresdefault.jpg,12800,7200, ,12800,7200,,/channel/UCAjwb2trX_m_6hobx02MV9g,455
751,SQL Summer Camp: Group By  Having and Count| Kaggle,0,4.171 visualizaÃ§Ãµes,Transmitido ao vivo em 27 de jun. de 2019,CiÃªncia e tecnologia,SQL Summer Camp: Group By  Having and Count| Kaggle,"Kaggle",4.171 visuali,https://i.ytimg.com/vi/dV74IWUkI8Q/hqdefault.jpg,4800,3600,Today we'll learn how to write slightly more complex queries that let us ask questions about groups of records. The first 30 minutes will be lecture and and ...,12800,7200,databases,/channel/UCSNeZleDn9c74yQc-EKnVTA,315
819,"Kaggle Days Madrid Meetup #1 - ""CÃ³mo llegar a nÃºmero 1 en Kaggle"" - JosÃ© Antonio Guerrero 1/2 (ES)",0,604 visualizaÃ§Ãµes,Publicado em 15 de nov. de 2018,Pessoas e blogs,"Kaggle Days Madrid Meetup #1 - ""CÃ³mo llegar a nÃºmero 1 en Kaggle"" - JosÃ© Antonio Guerrero 1/2 (ES)","LogicAICarregando...  ",604 visualiza,https://i.ytimg.com/vi/hJL9jXe1FlI/maxresdefault.jpg,12800,7200,During the first Kaggle Days Meetup Madrid  we had the pleasure to hear Jose Antonio Guerrero (Kaggle Grandmaster and former #1 at Kaggle) talk about useful ...,12800,7200,meetup,/channel/UCZ_qlZbg9EzwRnLq_hFQumQ,34
824,Workshop on Machine Learning at Hasanuddin University Indonesia  Lecturer Prof. Zohar Nussinov,1,21 visualizaÃ§Ãµes,Publicado em 25 de nov. de 2019,Pessoas e blogs,Workshop on Machine Learning at Hasanuddin University Indonesia  Lecturer Prof. Zohar Nussinov,"WCP UnhasCarregando...  ",21 visualizaÃ,https://i.ytimg.com/vi/hdoxkcsw0tU/hqdefault.jpg,4800,3600,Part one of workshop on machine learning for computational based research in science  held in the Department of Physics Hasanuddin Unversity  18-19 Sept 2019...,6400,3600,Machine LEarning,/channel/UCKdHuL3xvwXpqRSBy6F3VaA,386
846,Kaggle Live-Coding: Graphing entity co-occurrence in online rumors | Kaggle,0,448 visualizaÃ§Ãµes,Transmitido ao vivo em 3 de ago. de 2018,CiÃªncia e tecnologia,Kaggle Live-Coding: Graphing entity co-occurrence in online rumors | Kaggle,"Kaggle",448 visualiza,https://i.ytimg.com/vi/iz-OrQLIlaI/maxresdefault.jpg,12800,7200,Join Kaggle data scientist Rachael live as she works on data science projects! See all previous livestreams here: https://www.youtube.com/watch?v=i92VI289zWw...,12800,7200,CS,/channel/UCSNeZleDn9c74yQc-EKnVTA,826
858,"""Artificial Intelligence and Machine Learning: A Roadmap"" presentedJuly 26   2018",0,297 visualizaÃ§Ãµes,Publicado em 26 de jul. de 2018,CiÃªncia e tecnologia,"""Artificial Intelligence and Machine Learning: A Roadmap"" presentedJuly 26   2018","AccountantsWorldCarregando.",297 visualiza,https://i.ytimg.com/vi/jFbsCIdwaoA/hqdefault.jpg,4800,3600,Computers have historically been limited to performing tasks which are coded by software developers. A new field of computer science  machine learning  uses ...,12800,7200,Computer,/channel/UCH-5SfjH3Okj-4rHdtAE5GQ,287
862,Kaggle Reading Group: Multi-Task Deep Neural Networks for Natural Language Understanding | Kaggle,0,1.667 visualizaÃ§Ãµes,Transmitido ao vivo em 1 de mai. de 2019,CiÃªncia e tecnologia,Kaggle Reading Group: Multi-Task Deep Neural Networks for Natural Language Understanding | Kaggle,"Kaggle",1.667 visuali,https://i.ytimg.com/vi/jLrcM-kAo34/hqdefault.jpg,4800,3600,"Join Kaggle Data Scientist Rachael as she reads through an NLP paper! Today's paper is ""Multi-Task Deep Neural Networks for Natural Language Understanding "" ...",12800,7200,reading group,/channel/UCSNeZleDn9c74yQc-EKnVTA,362
869,Kaggle Reading Group: Generating Long Sequences with Sparse Transformers | Kaggle,0,1.056 visualizaÃ§Ãµes,Transmitido ao vivo em 22 de mai. de 2019,CiÃªncia e tecnologia,Kaggle Reading Group: Generating Long Sequences with Sparse Transformers | Kaggle,"Kaggle",1.056 visuali,https://i.ytimg.com/vi/jaqjcHmCBfY/hqdefault.jpg,4800,3600,"Join Kaggle Data Scientist Rachael as she reads through an NLP paper! Today's paper is ""Generating Long Sequences with Sparse Transformers"" (Child et al  unp...",12800,7200,reading group,/channel/UCSNeZleDn9c74yQc-EKnVTA,304
871,Kaggle Days Meetup Madrid #3 Round table - Microsoft Malware Prediction gold winners (2/2) ESP/ENG,0,127 visualizaÃ§Ãµes,Publicado em 25 de jun. de 2019,Pessoas e blogs,Kaggle Days Meetup Madrid #3 Round table - Microsoft Malware Prediction gold winners (2/2) ESP/ENG,"LogicAICarregando...  ",127 visualiza,https://i.ytimg.com/vi/jch8LrZpOKY/hqdefault.jpg,4800,3600,We've met at Kaggle Days Meetup Madrid for the 3rd time already. At this meetup  during the first part  Kaggle Grandmaster Alberto Danese talked about Gradie...,12800,7200,datascience,/channel/UCZ_qlZbg9EzwRnLq_hFQumQ,404
877,Session 8: Overview On Apriori Machine Learning Algorithm (ML.NET),1,1.086 visualizaÃ§Ãµes,Publicado em 13 de out. de 2019,CiÃªncia e tecnologia,"BLOCK71 Singapore Session 8: Overview On Apriori Machine Learning Algorithm (ML.NET)","dotnet.sgCarregando...  ",1.086 visuali,https://i.ytimg.com/vi/jqhxsfC9kS4/hqdefault.jpg,4800,3600,#dotnetconf #dotnetconfsg #dotnetfoundation Speaker: Cheah Eng Soon Twitter: @CheahEngSoon AI is based on algorithms which allow input to become output. The ...,4800,3600,dotnetfoundation,/channel/UCE-lhcJyBK8Pud18Ao1r06A,371
882,iDate Post-Conference Review June 12-13  2018 A.I.  Machine Learning & Mobile Dating,0,2.738 visualizaÃ§Ãµes,Publicado em 15 de jun. de 2018,Viagens e eventos,iDate Post-Conference Review June 12-13  2018 A.I.  Machine Learning & Mobile Dating,"Internet Dating ConferenceC",2.738 visuali,https://i.ytimg.com/vi/jxOXeR5p47A/hqdefault.jpg,4800,3600,Post-Conference review of the iDate Artificial Intelligence and Mobile Dating Conference in Los Angeles. The June 12-13  2018 event at the Sportsmen's Lodge ...,12800,7200,Online Personals Watch,/channel/UCUHO_D_nidFOT8hYlR_g4GQ,268
892,Intercepting Dirty Money using Machine Learning - Ashrith Barthur  H2O.ai,1,1.453 visualizaÃ§Ãµes,Publicado em 12 de jun. de 2018,CiÃªncia e tecnologia,Intercepting Dirty Money using Machine Learning - Ashrith Barthur  H2O.ai,"H2O.ai",1.453 visuali,https://i.ytimg.com/vi/kHAytksmKpI/maxresdefault.jpg,12800,7200,This video was recorded at H2O World NYC 2018 on June 7th  2018. The slides from the video can be viewed here: https://www.slideshare.net/0xdata/intercepting...,12800,7200,,/channel/UCk6ONJlPzjw3DohAeMSgsng,298
898,Kaggle Reading Group: Probing Neural Network Comprehension of Natural Language Arguments | Kaggle,0,1.622 visualizaÃ§Ãµes,Transmitido ao vivo em 21 de ago. de 2019,CiÃªncia e tecnologia,Kaggle Reading Group: Probing Neural Network Comprehension of Natural Language Arguments | Kaggle,"Kaggle",1.622 visuali,https://i.ytimg.com/vi/ks8Cz1qx2rE/hqdefault.jpg,4800,3600,BERT (which we read the paper for earlier) has had really impressive success on a number of NLP tasks... but how well is it really capturing the structures o...,12800,7200,formal logic,/channel/UCSNeZleDn9c74yQc-EKnVTA,336
904,Kaggle Meetup: AdTracking Fraud Detection,0,372 visualizaÃ§Ãµes,Publicado em 1 de jun. de 2018,CiÃªncia e tecnologia,Kaggle Meetup: AdTracking Fraud Detection,"Learn Data ScienceCarregand",372 visualiza,https://i.ytimg.com/vi/kzkQTPeZPQ4/maxresdefault.jpg,12800,7200,https://www.meetup.com/LearnDataScience/events/250901341/,12800,7200,,/channel/UCJhW_16uxALr0X4olEW2p5A,518
908,Kaggle Meetup: Quora Insincere Questions Classification,0,399 visualizaÃ§Ãµes,Publicado em 8 de mar. de 2019,CiÃªncia e tecnologia,Kaggle Meetup: Quora Insincere Questions Classification,"Learn Data ScienceCarregand",399 visualiza,https://i.ytimg.com/vi/l7ZmviwSnXw/maxresdefault.jpg,12800,7200,Kaggle page: https://www.kaggle.com/c/quora-insincere-questions-classification Meetup page: https://www.meetup.com/LearnDataScience/events/fbczqqyzfbkb/ Slid...,12800,7200,artificial intelligence,/channel/UCJhW_16uxALr0X4olEW2p5A,598
915,Reinforcement Learning 10: Classic Games Case Study,0,16.675 visualizaÃ§Ãµes,Publicado em 23 de nov. de 2018,CiÃªncia e tecnologia,Reinforcement Learning 10: Classic Games Case Study,"DeepMind",16.675 visual,https://i.ytimg.com/vi/ld28AU7DDB4/maxresdefault.jpg,12800,7200, ,12800,7200,,/channel/UCP7jMXSY2xbc3KCAE0MHQ-A,27
919,Kaggle Days Meetup Milan #1,0,243 visualizaÃ§Ãµes,Publicado em 22 de mai. de 2019,Pessoas e blogs,Kaggle Days Meetup Milan #1,"LogicAICarregando...  ",243 visualiza,https://i.ytimg.com/vi/lkZET6thmLk/hqdefault.jpg,4800,3600,15th of March had a place the first ever Kaggle Days Meetup in Milan. We had a chance to hear two great talks prepared by Kaggle Grandmasters: Abhishek Thaku...,12800,7200,,/channel/UCZ_qlZbg9EzwRnLq_hFQumQ,691
923,Shri Debasish Sen at 7th International Data Science Summit,0,5 visualizaÃ§Ãµes,Publicado em 23 de nov. de 2019,CiÃªncia e tecnologia,Shri Debasish Sen at 7th International Data Science Summit,"Data Science FoundationCarr",5 visualizaÃ§,https://i.ytimg.com/vi/m0NTnHGSfkA/maxresdefault.jpg,12800,7200,Shri Debasish Sen at 7th International Data Science Summit,12800,7200,Data Science in Govt,/channel/UCgURMi5Be6B6AOrgXuOnctQ,454
928,Data Mining vs Machine Learning: Top 20 Things You Must Know(first 10)),0,2 visualizaÃ§Ãµes,Publicado em 24 de nov. de 2019,Pessoas e blogs,Data Mining vs Machine Learning: Top 20 Things You Must Know(first 10)),"Adham AbdulbaqiCarregando..",2 visualizaÃ§,https://i.ytimg.com/vi/m849JboZtQQ/maxresdefault.jpg,12800,7200,UHD computer science department,12800,7200,,/channel/UCZBCPzJJmhFNuIQUAmkEtsA,262
933,Session 01/10 - Introduction to machine learning  and creative projects - SCM  CityU HK,0,664 visualizaÃ§Ãµes,Publicado em 6 de jun. de 2018,EducaÃ§Ã£o,Session 01/10 - Introduction to machine learning  and creative projects - SCM  CityU HK,School of Creative Media - City Universit,664 visualiza,https://i.ytimg.com/vi/mM6BodLczlA/maxresdefault.jpg,12800,7200,"28.05.2018 ""Introduction to machine learning  and creative projects""  The Machine Learning for Creative Media workshop by School of Creative Media  City Univ...",12800,7200,Media School,/channel/UCn19oT2xeSh9MDvbGmaOu3Q,28
